Year,Dark_red,red,orange,yellow
1985,[0.01394045],[0.0868811],[0.71538994],[4.5994516]
1986,[0.03455258],[0.12509858],[1.23473064],[5.94538607]
1987,[0.10357534],[0.34938568],[2.19198686],[7.3309774]
1988,[0.07734467],[0.33561083],[2.04730116],[6.93296789]
1989,[0.13114145],[0.26184232],[1.40970189],[5.73213709]
1990,[0.17040453],[0.41227143],[1.90649038],[6.55131507]
1991,[0.09119302],[0.29178953],[1.88927286],[6.62210988]
1992,[0.16223436],[0.27459758],[1.2787589],[5.51057093]
1993,[0.10340504],[0.26418447],[1.32384826],[5.88508936]
1994,[0.13270027],[0.22631996],[1.25707166],[5.82512245]
1995,[0.13634188],[0.25105806],[1.5984461],[6.56834254]
1996,[0.10075936],[0.15832783],[1.25397387],[6.40005747]
1997,[0.23000243],[0.30602127],[1.02001943],[5.76511801]
1998,[0.35022258],[0.58300489],[1.84526645],[6.82556931]
1999,[0.1804976],[0.25398715],[1.21595523],[5.85209046]
2000,[0.28517836],[0.29891303],[1.00659933],[5.38621895]
2001,[0.21497782],[0.3696183],[1.22614171],[6.08244982]
2002,[0.29307352],[0.3686634],[1.19476981],[6.4134897]
2003,[0.53651887],[0.55399929],[1.92515411],[7.08745079]
2004,[0.39953445],[0.55818829],[1.65118849],[6.61497345]
2005,[0.46593609],[0.53075599],[1.80445588],[6.93609348]
2006,[0.37681278],[0.42043056],[1.51489581],[7.00644162]
2007,[0.41168415],[0.39828963],[1.3021429],[6.75408492]
2008,[0.53785661],[0.48107437],[1.37090877],[6.58591799]
2009,[0.52699981],[0.55179746],[1.73213789],[7.73798627]
2010,[0.97517563],[0.90934084],[2.51376263],[8.08988054]
2011,[0.93291659],[0.64641986],[1.76458564],[7.61973985]
2012,[0.7454636],[0.5640188],[1.7691681],[7.15124531]
2013,[0.38135409],[0.41414465],[1.62841443],[7.24427205]
2014,[0.61166019],[0.57475848],[1.83789336],[7.36133628]
2015,[0.39915145],[0.6177017],[2.06454254],[7.61539999]
2016,[0.87865383],[0.87842307],[2.19153945],[7.43223969]
2017,[0.60091624],[0.55772092],[1.73727177],[8.03043469]
2018,[1.13172575],[0.65850557],[1.54806818],[7.46071257]
2019,[0.95928484],[0.97941984],[2.47406582],[8.26348582]
2020,[0.96057741],[0.8620754],[2.26978471],[8.70296393]
2021,[0.88380989],[0.76378788],[1.91605332],[7.75882236]
2022,[1.34874137],[0.9999819],[2.51136448],[9.12071128]
