Year,Dark_red,red,orange,yellow
1985,[0.04902206],[0.12883824],[1.25463848],[8.47106536]
1986,[0.10899038],[0.33187311],[1.85586884],[9.53751477]
1987,[0.10988813],[0.18741076],[1.83524227],[9.10411733]
1988,[0.12750154],[0.39670181],[2.5192015],[11.15834597]
1989,[0.27308762],[0.47110371],[2.23978111],[9.89285393]
1990,[0.1312676],[0.40026647],[2.59217257],[10.0999205]
1991,[0.05326892],[0.21351559],[1.75466817],[9.26643665]
1992,[0.03816899],[0.11793803],[1.65325132],[9.26674585]
1993,[0.00428167],[0.07918615],[1.32657208],[8.216069]
1994,[0.31173141],[0.31710476],[1.91536379],[8.90451782]
1995,[0.07710938],[0.24874553],[1.67427334],[9.93836879]
1996,[0.10191082],[0.35309986],[2.14744124],[10.45267974]
1997,[0.04391717],[0.10809075],[0.77852721],[7.26909691]
1998,[0.54331888],[0.59405292],[1.89255593],[9.23498555]
1999,[0.39639863],[0.35192339],[1.13042484],[8.59387223]
2000,[0.50071495],[0.42752528],[1.42772506],[8.85550345]
2001,[0.1672857],[0.34629588],[1.80525044],[10.45875126]
2002,[0.05139863],[0.26832893],[1.42612148],[10.66198184]
2003,[0.23742961],[0.39685866],[1.79018508],[11.98184201]
2004,[0.17359854],[0.35850993],[1.7399139],[10.77443565]
2005,[0.2455534],[0.4577602],[2.05300499],[12.28109138]
2006,[0.35125293],[0.38651714],[1.51254655],[10.67558392]
2007,[0.1728777],[0.32363122],[1.81715623],[11.35556593]
2008,[0.60318313],[0.50888763],[1.94923077],[10.88853664]
2009,[0.26373806],[0.50231146],[2.17077237],[12.29887475]
2010,[0.66465341],[0.95813191],[3.06510212],[12.39791635]
2011,[0.78142866],[0.65715409],[1.83602355],[11.36180047]
2012,[0.82282217],[0.53990474],[2.27052133],[11.62646905]
2013,[0.74550308],[0.81696456],[3.04150327],[12.69515491]
2014,[0.85997738],[1.18266026],[3.03977376],[11.72908685]
2015,[0.47265774],[0.93101716],[2.75897467],[11.37382636]
2016,[1.47395702],[1.49098748],[3.59697527],[11.78724997]
2017,[0.76309009],[1.28589684],[3.25921846],[13.15200826]
2018,[1.0357133],[0.8351348],[2.64847851],[13.10266403]
2019,[0.85122675],[0.87292547],[2.80380436],[12.39675182]
2020,[1.16482592],[1.2820076],[3.15057504],[12.98873335]
2021,[0.95124717],[0.87802508],[2.39809829],[13.72916478]
2022,[1.82978636],[1.61079453],[3.37948489],[13.74277165]
