Date,Temp
Jan-1985,32.2
Feb-1985,32.27
Mar-1985,32.25
Apr-1985,31.95
May-1985,31.71
Jun-1985,31.42
Jul-1985,31.5
Aug-1985,31.45
Sep-1985,31.48
Oct-1985,31.55
Nov-1985,31.77
Dec-1985,32.21
Jan-1986,32.27
Feb-1986,32.33
Mar-1986,32.18
Apr-1986,31.82
May-1986,31.72
Jun-1986,31.51
Jul-1986,31.49
Aug-1986,31.43
Sep-1986,31.18
Oct-1986,31.26
Nov-1986,31.65
Dec-1986,32.11
Jan-1987,32.22
Feb-1987,32.23
Mar-1987,32.05
Apr-1987,31.9
May-1987,31.68
Jun-1987,31.52
Jul-1987,31.35
Aug-1987,31.32
Sep-1987,31.46
Oct-1987,31.23
Nov-1987,31.6
Dec-1987,32.17
Jan-1988,32.3
Feb-1988,32.16
Mar-1988,32.18
Apr-1988,31.77
May-1988,31.77
Jun-1988,31.36
Jul-1988,31.27
Aug-1988,31.29
Sep-1988,30.92
Oct-1988,31.31
Nov-1988,31.72
Dec-1988,31.94
Jan-1989,32.25
Feb-1989,32.45
Mar-1989,32.24
Apr-1989,32.02
May-1989,31.88
Jun-1989,31.54
Jul-1989,31.5
Aug-1989,31.44
Sep-1989,31.39
Oct-1989,31.21
Nov-1989,31.9
Dec-1989,32.09
Jan-1990,32.37
Feb-1990,32.23
Mar-1990,32.26
Apr-1990,32.0
May-1990,31.81
Jun-1990,31.45
Jul-1990,31.48
Aug-1990,31.38
Sep-1990,31.35
Oct-1990,31.36
Nov-1990,31.67
Dec-1990,32.07
Jan-1991,32.09
Feb-1991,32.24
Mar-1991,32.28
Apr-1991,31.86
May-1991,31.54
Jun-1991,31.74
Jul-1991,31.72
Aug-1991,31.53
Sep-1991,31.42
Oct-1991,31.68
Nov-1991,31.93
Dec-1991,32.04
Jan-1992,32.2
Feb-1992,32.01
Mar-1992,32.05
Apr-1992,31.89
May-1992,31.56
Jun-1992,31.39
Jul-1992,31.31
Aug-1992,31.18
Sep-1992,31.21
Oct-1992,31.27
Nov-1992,31.65
Dec-1992,32.05
Jan-1993,32.43
Feb-1993,32.34
Mar-1993,32.14
Apr-1993,32.0
May-1993,31.71
Jun-1993,31.42
Jul-1993,31.14
Aug-1993,31.2
Sep-1993,31.11
Oct-1993,31.26
Nov-1993,31.79
Dec-1993,31.99
Jan-1994,32.27
Feb-1994,32.17
Mar-1994,32.18
Apr-1994,31.88
May-1994,31.74
Jun-1994,31.37
Jul-1994,31.35
Aug-1994,31.45
Sep-1994,31.09
Oct-1994,31.48
Nov-1994,31.84
Dec-1994,32.06
Jan-1995,32.27
Feb-1995,31.98
Mar-1995,31.89
Apr-1995,31.8
May-1995,31.86
Jun-1995,31.33
Jul-1995,31.42
Aug-1995,31.26
Sep-1995,31.37
Oct-1995,31.46
Nov-1995,31.6
Dec-1995,32.1
Jan-1996,32.21
Feb-1996,32.3
Mar-1996,32.1
Apr-1996,31.93
May-1996,31.57
Jun-1996,31.44
Jul-1996,31.38
Aug-1996,31.45
Sep-1996,31.26
Oct-1996,31.39
Nov-1996,31.96
Dec-1996,32.29
Jan-1997,32.28
Feb-1997,32.59
Mar-1997,32.25
Apr-1997,31.92
May-1997,31.74
Jun-1997,31.27
Jul-1997,31.31
Aug-1997,31.57
Sep-1997,31.37
Oct-1997,31.44
Nov-1997,31.8
Dec-1997,32.09
Jan-1998,32.15
Feb-1998,32.24
Mar-1998,32.0
Apr-1998,31.79
May-1998,31.71
Jun-1998,31.63
Jul-1998,31.5
Aug-1998,31.31
Sep-1998,31.17
Oct-1998,31.07
Nov-1998,31.53
Dec-1998,32.15
Jan-1999,32.32
Feb-1999,32.5
Mar-1999,32.23
Apr-1999,31.97
May-1999,31.82
Jun-1999,31.41
Jul-1999,31.47
Aug-1999,31.68
Sep-1999,31.34
Oct-1999,31.11
Nov-1999,31.73
Dec-1999,32.05
Jan-2000,32.43
Feb-2000,32.55
Mar-2000,32.2
Apr-2000,32.08
May-2000,31.79
Jun-2000,31.4
Jul-2000,31.43
Aug-2000,31.46
Sep-2000,31.41
Oct-2000,31.3
Nov-2000,31.78
Dec-2000,32.23
Jan-2001,32.42
Feb-2001,32.34
Mar-2001,32.21
Apr-2001,31.88
May-2001,31.66
Jun-2001,31.29
Jul-2001,31.33
Aug-2001,31.52
