Date,Temp
Jan-1985,28.59
Feb-1985,28.67
Mar-1985,28.74
Apr-1985,28.63
May-1985,28.7
Jun-1985,29.06
Jul-1985,29.37
Aug-1985,29.71
Sep-1985,29.43
Oct-1985,29.06
Nov-1985,28.85
Dec-1985,28.29
Jan-1986,28.37
Feb-1986,28.58
Mar-1986,28.55
Apr-1986,28.52
May-1986,28.59
Jun-1986,28.8
Jul-1986,29.19
Aug-1986,29.64
Sep-1986,29.46
Oct-1986,29.25
Nov-1986,28.81
Dec-1986,28.55
Jan-1987,28.42
Feb-1987,28.69
Mar-1987,28.46
Apr-1987,28.36
May-1987,28.34
Jun-1987,28.59
Jul-1987,29.11
Aug-1987,29.44
Sep-1987,29.22
Oct-1987,28.89
Nov-1987,28.84
Dec-1987,28.64
Jan-1988,28.58
Feb-1988,28.64
Mar-1988,28.35
Apr-1988,28.59
May-1988,28.61
Jun-1988,28.98
Jul-1988,29.29
Aug-1988,29.66
Sep-1988,29.58
Oct-1988,29.48
Nov-1988,28.82
Dec-1988,28.81
Jan-1989,28.52
Feb-1989,28.39
Mar-1989,28.79
Apr-1989,28.86
May-1989,28.78
Jun-1989,29.0
Jul-1989,29.43
Aug-1989,29.97
Sep-1989,29.76
Oct-1989,29.31
Nov-1989,29.15
Dec-1989,28.79
Jan-1990,28.85
Feb-1990,28.77
Mar-1990,28.88
Apr-1990,28.66
May-1990,28.64
Jun-1990,29.16
Jul-1990,29.39
Aug-1990,29.82
Sep-1990,29.51
Oct-1990,29.21
Nov-1990,28.98
Dec-1990,28.74
Jan-1991,28.56
Feb-1991,28.59
Mar-1991,28.68
Apr-1991,28.55
May-1991,28.37
Jun-1991,28.92
Jul-1991,29.24
Aug-1991,29.59
Sep-1991,29.44
Oct-1991,28.98
Nov-1991,28.87
Dec-1991,28.8
Jan-1992,28.73
Feb-1992,28.61
Mar-1992,28.61
Apr-1992,28.54
May-1992,28.24
Jun-1992,28.64
Jul-1992,29.16
Aug-1992,29.4
Sep-1992,29.14
Oct-1992,28.87
Nov-1992,28.66
Dec-1992,28.64
Jan-1993,28.59
Feb-1993,28.59
Mar-1993,28.42
Apr-1993,28.48
May-1993,28.38
Jun-1993,28.77
Jul-1993,29.02
Aug-1993,29.3
Sep-1993,29.21
Oct-1993,28.82
Nov-1993,28.66
Dec-1993,28.48
Jan-1994,28.44
Feb-1994,28.4
Mar-1994,28.54
Apr-1994,28.55
May-1994,28.55
Jun-1994,28.92
Jul-1994,29.15
Aug-1994,29.4
Sep-1994,29.39
Oct-1994,28.87
Nov-1994,28.67
Dec-1994,28.48
Jan-1995,28.52
Feb-1995,28.39
Mar-1995,28.53
Apr-1995,28.47
May-1995,28.57
Jun-1995,28.69
Jul-1995,29.15
Aug-1995,29.62
Sep-1995,29.55
Oct-1995,29.06
Nov-1995,28.79
Dec-1995,28.62
Jan-1996,28.39
Feb-1996,28.41
Mar-1996,28.54
Apr-1996,28.4
May-1996,28.57
Jun-1996,29.0
Jul-1996,29.15
Aug-1996,29.62
