,data
0,23.12
1,23.49
2,23.59
3,23.35
4,23.29
5,23.26
6,23.05
7,22.65
8,22.52
9,22.72
10,22.75
11,22.84
12,23.19
13,23.4
14,23.36
15,23.07
16,22.93
17,22.75
18,22.73
19,22.11
20,21.9
21,21.92
22,22.34
23,23.01
24,23.06
25,23.21
26,23.42
27,23.18
28,22.76
29,22.8
30,23.11
31,22.9
32,22.17
33,22.32
34,22.76
35,22.94
36,23.39
37,23.58
38,23.55
39,23.1
40,22.77
41,22.75
42,22.16
43,22.51
44,22.12
45,22.82
46,22.93
47,22.81
48,22.9
49,23.12
50,23.1
51,22.75
52,22.66
53,22.71
54,23.04
55,22.86
56,22.63
57,22.72
58,22.73
59,22.85
60,23.09
61,23.42
62,23.43
63,23.01
64,22.71
65,22.58
66,22.42
67,23.15
68,23.02
69,22.47
70,22.43
71,22.43
72,23.06
73,23.41
74,23.49
75,23.26
76,23.05
77,22.72
78,22.3
79,22.04
80,21.3
81,22.75
82,22.69
83,22.75
84,23.0
85,23.29
86,23.25
87,23.06
88,22.89
89,22.63
90,22.93
91,22.67
92,22.55
93,22.65
94,22.31
95,22.76
96,23.05
97,21.8
98,23.02
99,23.01
100,22.82
101,22.87
102,22.3
103,22.74
104,22.85
105,22.89
106,22.81
107,21.2
108,23.09
109,23.3
110,23.28
111,23.11
112,22.76
113,22.67
114,22.72
115,22.59
116,22.82
117,22.92
118,22.73
119,21.58
120,22.96
121,23.32
122,23.18
123,23.11
124,22.95
125,22.99
126,22.78
127,22.74
128,22.93
129,22.89
130,22.7
131,22.85
132,22.34
133,22.87
134,23.24
135,23.01
136,22.67
137,22.91
138,22.81
139,22.9
140,23.13
141,22.93
142,22.75
143,22.9
144,23.22
145,23.28
146,23.1
147,22.89
148,21.01
149,22.21
150,22.52
151,22.77
152,22.86
153,22.93
154,22.76
155,22.76
156,23.07
157,23.28
158,23.18
159,23.17
160,22.94
161,23.1
162,22.7
163,23.1
164,23.03
165,22.94
166,23.07
167,22.93
168,23.06
169,23.37
170,23.41
171,23.0
172,22.94
173,22.69
174,22.59
175,22.4
176,22.75
177,22.77
178,22.86
179,22.83
180,23.2
181,23.06
182,23.01
183,22.81
184,23.04
185,22.72
186,22.36
187,22.19
188,22.85
189,22.92
190,22.62
191,22.77
192,23.0
193,23.15
194,23.28
195,23.16
196,22.51
197,22.68
198,22.58
199,22.72
200,22.79
201,22.81
202,22.58
203,22.85
204,23.2
205,23.36
206,23.14
207,23.03
208,22.82
209,22.77
210,22.84
211,22.38
212,22.19
213,22.24
214,22.3
215,22.61
216,22.8
217,23.22
218,23.06
219,22.92
220,22.38
221,22.63
222,22.85
223,22.72
224,22.55
225,21.86
226,22.59
227,22.8
228,23.22
229,23.17
230,23.15
231,23.05
232,22.83
233,22.83
234,22.72
235,22.75
236,22.88
237,23.04
238,22.71
239,22.83
240,23.16
241,23.31
242,23.27
243,23.19
244,22.84
245,22.73
246,22.13
247,22.67
248,22.71
249,21.86
250,22.58
251,22.93
252,22.98
253,23.26
254,23.17
255,22.78
256,22.72
257,23.03
258,23.17
259,22.97
260,21.54
261,22.37
262,22.76
263,23.35
264,23.38
265,23.69
266,23.63
267,23.01
268,22.95
269,22.49
270,22.26
271,22.48
272,22.81
273,22.18
274,22.53
275,22.9
276,23.19
277,23.13
278,22.91
279,23.08
280,23.0
281,22.95
282,22.82
283,22.38
284,22.96
285,22.83
286,22.73
287,22.87
288,23.26
289,23.56
290,23.63
291,23.02
292,22.82
293,22.76
294,22.63
295,22.7
296,22.63
297,22.55
298,22.96
299,23.15
300,23.4
301,23.33
302,23.29
303,23.12
304,23.0
305,22.71
306,22.75
307,22.95
308,22.77
309,22.44
310,22.79
311,23.08
312,23.15
313,23.33
314,23.17
315,22.89
316,22.82
317,22.78
318,22.22
319,22.46
320,23.12
321,22.81
322,22.68
323,22.58
324,22.59
325,23.21
326,23.19
327,23.01
328,22.99
329,22.66
330,22.24
331,22.34
332,22.75
333,22.93
334,22.69
335,22.8
336,23.1
337,23.63
338,23.34
339,23.09
340,23.12
341,22.88
342,22.73
343,22.68
344,22.98
345,22.82
346,22.84
347,22.98
348,23.33
349,23.58
350,23.43
351,22.99
352,22.76
353,22.77
354,22.79
355,22.67
356,23.09
357,22.95
358,22.92
359,23.08
360,23.41
361,23.52
362,23.47
363,23.18
364,22.86
365,22.8
366,22.11
367,22.26
368,22.73
369,22.81
370,22.75
371,22.81
372,23.1
373,23.22
374,23.16
375,22.91
376,22.82
377,22.93
378,22.86
379,22.69
380,22.86
381,22.71
382,22.89
383,22.99
384,23.11
385,23.32
386,23.47
387,23.07
388,22.63
389,22.71
390,22.63
391,22.68
392,22.8
393,22.79
394,22.5
395,22.68
396,23.09
397,23.24
398,23.31
399,23.15
400,23.02
401,22.88
402,22.81
403,22.8
404,22.94
405,22.94
406,22.95
407,22.88
408,23.22
409,23.24
410,23.31
411,22.98
412,22.9
413,22.58
414,22.91
415,22.63
416,22.86
417,22.59
418,22.81
419,22.98
420,23.12
421,23.26
422,23.2
423,23.01
424,22.89
425,22.88
426,22.73
427,22.68
428,22.24
429,22.6
430,22.77
431,23.16
432,23.49
433,23.62
434,23.36
435,23.13
436,22.84
437,22.69
438,22.55
439,22.24
440,22.45
441,22.51
442,22.71
443,22.78
444,23.0
445,23.14
446,23.13
447,23.06
448,22.96
449,23.11
450,22.72
451,22.45
452,22.68
453,22.74
454,22.76
455,22.89
456,22.98
457,23.39
458,23.45
459,23.05
460,23.1
461,22.83
462,22.61
463,22.61
464,22.88
465,22.74
466,22.65
467,22.95
468,23.14
469,23.22
470,22.88
471,22.87
472,22.87
473,22.93
474,22.52
475,22.55
476,22.44
477,22.63
478,22.95
479,22.99
480,23.41
481,23.41
482,23.41
483,23.09
484,22.96
485,22.69
486,22.16
487,22.62
488,22.83
489,22.96
490,23.01
491,23.17
492,23.43
493,23.62
494,23.63
495,23.24
496,22.94
497,22.9
498,22.85
499,22.71
500,22.6
501,22.85
502,22.9
503,23.04
504,22.92
505,23.26
506,23.14
507,23.02
508,22.75
509,22.66
510,22.33
511,22.76
512,23.02
513,22.71
514,22.76
515,22.99
516,23.22
517,23.48
518,23.41
519,23.2
520,22.98
521,22.87
522,22.9
523,22.91
524,22.77
525,22.52
526,22.63
527,23.08
528,23.6
529,23.73
530,23.4
531,23.13
532,23.01
533,23.07
534,22.24
535,22.73
536,22.76
537,22.77
538,22.79
539,22.84
540,23.06
541,22.85
542,23.07
543,22.9
544,22.73
545,22.6
546,22.8
547,22.5
548,22.83
549,22.77
550,22.59
551,22.59
552,23.23
553,23.58
554,23.16
555,22.66
556,22.88
557,22.92
558,22.63
559,22.85
560,22.9
561,22.91
562,23.0
563,23.09
564,23.31
565,23.47
566,23.47
567,23.08
568,22.85
569,22.98
570,22.77
571,22.64
572,22.47
573,22.59
574,22.52
575,22.52
576,22.75
577,22.86
578,23.0
579,22.83
580,22.61
581,22.76
582,22.91
583,22.79
584,22.62
585,22.63
586,22.84
587,23.04
588,23.24
589,23.47
590,23.29
591,23.0
592,22.67
593,22.85
594,22.67
595,22.79
596,22.59
597,23.03
598,22.74
599,22.87
600,23.29
601,23.57
602,23.37
603,23.18
604,22.92
605,22.59
606,22.68
607,22.56
608,22.72
609,22.6
610,22.76
611,22.94
612,23.21
613,23.39
614,23.34
615,23.18
616,22.87
617,23.09
618,22.94
619,22.93
620,22.81
621,22.75
622,22.9
623,23.07
624,23.15
625,23.43
626,23.45
627,23.2
628,22.79
629,22.58
630,22.97
631,22.89
632,22.76
633,22.91
634,22.69
635,22.54
636,22.75
637,23.04
638,23.17
639,23.09
640,22.56
641,22.54
642,22.62
643,22.69
644,22.54
645,22.52
646,22.75
647,22.97
648,23.05
649,23.21
650,23.36
651,23.09
652,22.78
653,22.62
654,22.61
655,22.48
656,22.64
657,22.54
658,22.58
659,22.8
660,23.0
661,23.17
662,23.2
663,23.15
664,22.91
665,22.69
666,22.84
667,22.34
668,22.42
669,22.45
670,22.64
671,22.77
672,22.93
673,22.94
674,23.04
675,22.86
676,22.61
677,22.57
678,22.57
679,22.43
680,22.43
681,22.83
682,22.87
683,23.07
684,23.36
685,23.49
686,23.33
687,22.94
688,22.73
689,22.7
690,22.78
691,22.59
692,22.77
693,22.81
694,22.6
695,22.69
696,23.12
697,23.38
698,23.27
699,22.97
700,22.76
701,23.02
702,23.02
703,22.89
704,22.88
705,22.79
706,22.59
707,22.91
708,23.13
709,23.37
710,23.22
711,22.92
712,22.66
713,22.63
714,22.7
715,22.88
716,23.14
717,22.95
718,22.72
719,22.89
720,23.01
721,22.96
722,23.16
723,22.83
724,22.61
725,22.68
726,22.73
727,22.69
728,22.99
729,22.71
730,22.78
731,22.98
732,23.26
733,23.34
734,23.08
735,22.75
736,22.76
737,22.66
738,22.74
739,22.65
740,22.75
741,22.55
742,22.68
743,23.08
744,23.17
745,23.36
746,23.3
747,23.28
748,23.21
749,23.06
750,23.02
751,22.95
752,23.0
753,22.94
754,22.82
755,22.83
756,23.33
757,23.64
758,23.53
759,23.32
760,23.25
761,23.12
762,23.27
763,22.96
764,23.19
765,22.99
766,22.68
767,22.48
768,22.98
