Date,Temp
Jan-1985,23.41
Feb-1985,23.65
Mar-1985,23.59
Apr-1985,23.31
May-1985,22.97
Jun-1985,22.86
Jul-1985,22.89
Aug-1985,23.01
Sep-1985,22.94
Oct-1985,23.08
Nov-1985,22.99
Dec-1985,22.97
Jan-1986,23.24
Feb-1986,23.47
Mar-1986,23.39
Apr-1986,23.31
May-1986,23.0
Jun-1986,23.06
Jul-1986,23.01
Aug-1986,23.03
Sep-1986,23.31
Oct-1986,23.17
Nov-1986,22.96
Dec-1986,23.15
Jan-1987,23.39
Feb-1987,23.63
Mar-1987,23.39
Apr-1987,23.22
May-1987,23.1
Jun-1987,22.96
Jul-1987,22.96
Aug-1987,22.86
Sep-1987,22.86
Oct-1987,22.85
Nov-1987,22.82
Dec-1987,22.81
Jan-1988,23.23
Feb-1988,23.32
Mar-1988,23.32
Apr-1988,23.13
May-1988,22.73
Jun-1988,22.92
Jul-1988,23.01
Aug-1988,22.91
Sep-1988,23.29
Oct-1988,22.91
Nov-1988,22.96
Dec-1988,23.2
Jan-1989,23.37
Feb-1989,23.56
Mar-1989,23.5
Apr-1989,23.42
May-1989,23.1
Jun-1989,23.1
Jul-1989,23.0
Aug-1989,22.86
Sep-1989,23.25
Oct-1989,23.03
Nov-1989,23.02
Dec-1989,23.12
Jan-1990,23.48
Feb-1990,23.55
Mar-1990,23.5
Apr-1990,23.3
May-1990,23.01
Jun-1990,22.83
Jul-1990,23.0
Aug-1990,23.02
Sep-1990,22.94
Oct-1990,22.99
Nov-1990,22.74
Dec-1990,22.79
Jan-1991,23.23
Feb-1991,23.46
Mar-1991,23.41
Apr-1991,23.13
May-1991,22.83
Jun-1991,22.84
Jul-1991,23.14
Aug-1991,23.1
Sep-1991,23.03
Oct-1991,22.97
Nov-1991,23.09
Dec-1991,23.18
Jan-1992,23.37
Feb-1992,23.46
Mar-1992,23.53
Apr-1992,23.32
May-1992,23.29
Jun-1992,22.99
Jul-1992,22.99
Aug-1992,22.99
Sep-1992,22.91
Oct-1992,22.74
Nov-1992,22.83
Dec-1992,23.04
Jan-1993,23.34
Feb-1993,23.69
Mar-1993,23.59
Apr-1993,23.36
May-1993,23.19
Jun-1993,23.08
Jul-1993,22.99
Aug-1993,22.92
Sep-1993,23.05
Oct-1993,22.99
Nov-1993,22.95
Dec-1993,22.92
Jan-1994,23.18
Feb-1994,23.38
Mar-1994,23.42
Apr-1994,23.17
May-1994,22.94
Jun-1994,22.96
Jul-1994,22.93
Aug-1994,22.99
Sep-1994,23.1
Oct-1994,22.99
Nov-1994,22.9
Dec-1994,22.95
Jan-1995,23.19
Feb-1995,23.36
Mar-1995,23.35
Apr-1995,23.11
May-1995,22.93
Jun-1995,22.86
Jul-1995,23.22
Aug-1995,23.08
Sep-1995,23.09
Oct-1995,23.1
Nov-1995,22.99
Dec-1995,23.07
Jan-1996,23.17
Feb-1996,23.43
Mar-1996,23.5
Apr-1996,23.38
May-1996,23.29
Jun-1996,23.04
Jul-1996,22.95
